datetime,problem_type,name,commit_link,description
17.03.2022 13:33,BACKDOOR,WordPress плагин Mistape,https://wordpress.org/plugins/mistape/,"Через уязвимость в популярном плагине Mistape злоумышленник получает доступ к разделам администратора, заливает плагин UnderConstruction, с помощью которого на главную страницу сайта выводит произвольную информацию. Обычно это виджет на тему текущих событий в Украине. Автор плагина 24 февраля внёс в него изменения. Дождался, пока обновление разойдётся по пользователям и начал через несколько дней эксплуатировать занесённую туда уязвимость."
17.03.2022 13:29,BACKDOOR,Глянец,https://drupal.ru/glyanec-scam,"Компания «Глянец» встраивает на сайты клиентов вредоносный код для обхода защиты и получения полного доступа к сайтам. Они называют это «сервисным входом». 26 февраля руководитель «Глянец» Заика Анатолий в публичном телеграм-чате заявил, что российские сайты, созданные в его компании, будут «взломаны»."
17.03.2022 14:00,BROKEN_ASSEMBLY,https://packagist.org/packages/fomvasss/laravel-dadata,https://github.com/fomvasss/laravel-dadata,Удален с github
17.03.2022 12:56,BROKEN_ASSEMBLY,yandex-php-library,https://github.com/nixsolutions/yandex-php-library/blob/master/README.md,Заметил проблему с библиотекой дней 10 назад
17.03.2022 12:56,BROKEN_ASSEMBLY,Un-Official Yandex-XML PHP library,https://packagist.org/packages/anton-shevchuk/yandex-xml-library,"В packagist добавлена версия пакета с политическим лозунгом, а исходники удалены из гитхаба. Результат - поломаная сборка проекта"
19.03.2022 22:00,DATA_COLLECTION,Syarol/how-did-they-respond,https://github.com/Syarol/how-did-they-respond/commit/3983dbb07e8194b8864de90ed724692b1b9406fb,Сбор данных об организациях высказывающихся в ту или иную пользу о конфликте.
23.03.2022 12:37,DDOS,SlavaUkraini,https://github.com/ApocalypseCalculator/SlavaUkraini/commit/eee435955849ed04d064e29a60c45f0f2ece48d5,DDOS tool against RU resources
23.03.2022 12:31,DDOS,Parad1seBomb,https://github.com/K1ngSoul/Parad1seBomb,SMS Bomber for Russia and Ukraine
22.03.2022 2:06,DDOS,DDoS-Russia-App,https://github.com/seriascraper/DDoS-Russia-App/commit/a59430c8db86fdc73ed42eb47f4234dfcbdc1f89,HTML DDoS from https://pwned.space site of RU resources in background
22.03.2022 1:58,DDOS,Anti-Prop/antiprop_basic,https://github.com/Anti-Prop/antiprop_basic/commit/77a2f5f09b79d39702b6929be10fae5e260177ab,"DDoS tool, working from browser, against RU resources"
22.03.2022 1:40,DDOS,dddos,https://github.com/pauldb09/Dddos/commit/7d9bcbec25c58081b0df8a582acb5fd0bf2d4b67,DDoS tool with ability to bypass Cloudflare
